review_key,date_key,customer_key,product_key,rating,review_text,sentiment_score,created_at
35,20240517,1049,108,5,"Amazing quality, exceeded expectations",0.93,2026-01-30 00:03:26.476104
36,20240525,1175,68,1,Completely disappointed,0.79,2026-01-30 00:03:26.476104
37,20231202,432,56,2,"Not great, quality could be better",-0.33,2026-01-30 00:03:26.476104
38,20240615,530,19,3,Nothing special but acceptable,-0.4,2026-01-30 00:03:26.476104
39,20240626,1855,96,2,"Not great, quality could be better",0.49,2026-01-30 00:03:26.476104
40,20241203,305,141,3,Okay for the price,0.22,2026-01-30 00:03:26.476104
41,20240218,282,149,2,Below expectations,0.91,2026-01-30 00:03:26.476104
42,20240125,1676,10,5,"Excellent product, highly recommended",0.22,2026-01-30 00:03:26.476104
43,20241023,906,30,1,Very poor quality,0.72,2026-01-30 00:03:26.476104
44,20240222,1265,77,5,"Excellent product, highly recommended",0.59,2026-01-30 00:03:26.476104
45,20240317,975,110,3,Okay for the price,-0.1,2026-01-30 00:03:26.476104
46,20240524,337,101,4,Good quality and fast delivery,-0.85,2026-01-30 00:03:26.476104
47,20240527,1561,74,1,Completely disappointed,0.24,2026-01-30 00:03:26.476104
48,20231208,198,117,3,Okay for the price,-0.01,2026-01-30 00:03:26.476104
49,20240903,696,130,1,Completely disappointed,-0.36,2026-01-30 00:03:26.476104
50,20231226,200,70,3,"Average product, does the job",0.74,2026-01-30 00:03:26.476104
51,20240113,674,30,5,"Excellent product, highly recommended",0.08,2026-01-30 00:03:26.476104
52,20240612,1336,64,2,"Not great, quality could be better",0.23,2026-01-30 00:03:26.476104
53,20240907,1798,76,1,Very poor quality,-0.86,2026-01-30 00:03:26.476104
54,20240206,683,62,1,Completely disappointed,0.02,2026-01-30 00:03:26.476104
55,20241113,1526,11,4,Good quality and fast delivery,0.95,2026-01-30 00:03:26.476104
56,20240226,1872,6,2,Below expectations,0.18,2026-01-30 00:03:26.476104
57,20240615,7,44,5,"Perfect, would buy again",0.9,2026-01-30 00:03:26.476104
58,20241212,639,133,5,"Excellent product, highly recommended",-0.85,2026-01-30 00:03:26.476104
59,20241227,373,43,2,Somewhat disappointed,-0.27,2026-01-30 00:03:26.476104
60,20241031,227,109,4,Good quality and fast delivery,0.87,2026-01-30 00:03:26.476104
61,20240906,385,143,3,"Average product, does the job",0.08,2026-01-30 00:03:26.476104
62,20240812,343,160,5,"Perfect, would buy again",-0.4,2026-01-30 00:03:26.476104
63,20240529,541,122,4,Good quality and fast delivery,-0.46,2026-01-30 00:03:26.476104
64,20241206,945,142,3,"Average product, does the job",-0.43,2026-01-30 00:03:26.476104
65,20240511,1185,7,4,Good value for the price,0.92,2026-01-30 00:03:26.476104
66,20240311,115,29,3,Nothing special but acceptable,-0.28,2026-01-30 00:03:26.476104
67,20241126,881,129,2,Somewhat disappointed,-0.41,2026-01-30 00:03:26.476104
68,20240915,253,16,2,"Not great, quality could be better",-0.21,2026-01-30 00:03:26.476104
69,20241027,699,134,4,Good value for the price,-0.26,2026-01-30 00:03:26.476104
70,20241212,788,132,4,Very satisfied overall,-0.62,2026-01-30 00:03:26.476104
71,20241113,308,147,3,"Average product, does the job",-0.47,2026-01-30 00:03:26.476104
72,20240821,1115,133,4,Good quality and fast delivery,-0.41,2026-01-30 00:03:26.476104
73,20240612,1247,72,1,"Terrible experience, do not buy",-0.46,2026-01-30 00:03:26.476104
74,20240205,319,143,4,Very satisfied overall,-0.46,2026-01-30 00:03:26.476104
75,20231217,529,129,2,Below expectations,0.31,2026-01-30 00:03:26.476104
76,20240525,1937,147,2,Somewhat disappointed,0.54,2026-01-30 00:03:26.476104
77,20240227,614,6,1,Completely disappointed,0.22,2026-01-30 00:03:26.476104
78,20240512,657,45,4,Good quality and fast delivery,-0.31,2026-01-30 00:03:26.476104
79,20241217,1153,123,2,Below expectations,-0.35,2026-01-30 00:03:26.476104
80,20240602,922,8,3,"Average product, does the job",-0.63,2026-01-30 00:03:26.476104
81,20241211,648,30,5,"Perfect, would buy again",0.99,2026-01-30 00:03:26.476104
82,20240719,632,59,3,"Average product, does the job",-0.15,2026-01-30 00:03:26.476104
83,20240311,204,76,5,"Amazing quality, exceeded expectations",0.38,2026-01-30 00:03:26.476104
84,20231209,1675,133,4,Very satisfied overall,0.36,2026-01-30 00:03:26.476104
85,20240929,340,110,5,"Amazing quality, exceeded expectations",0.97,2026-01-30 00:03:26.476104
86,20241220,468,7,1,Very poor quality,-0.73,2026-01-30 00:03:26.476104
87,20231202,1371,68,2,Below expectations,-0.74,2026-01-30 00:03:26.476104
88,20240119,1861,37,1,Very poor quality,-0.2,2026-01-30 00:03:26.476104
89,20240825,490,6,3,Okay for the price,-0.85,2026-01-30 00:03:26.476104
90,20240916,1960,18,1,"Terrible experience, do not buy",-0.05,2026-01-30 00:03:26.476104
91,20240511,1491,105,1,Completely disappointed,-0.97,2026-01-30 00:03:26.476104
92,20240503,300,47,3,Nothing special but acceptable,0.16,2026-01-30 00:03:26.476104
93,20240607,1932,76,3,Okay for the price,0.18,2026-01-30 00:03:26.476104
94,20240108,841,105,5,"Excellent product, highly recommended",-0.92,2026-01-30 00:03:26.476104
95,20240127,606,79,4,Good value for the price,0.31,2026-01-30 00:03:26.476104
96,20240218,918,25,4,Very satisfied overall,0.01,2026-01-30 00:03:26.476104
97,20240318,118,72,2,Below expectations,0.67,2026-01-30 00:03:26.476104
98,20240518,1638,103,3,Okay for the price,0.91,2026-01-30 00:03:26.476104
99,20241127,1389,24,1,Very poor quality,-0.92,2026-01-30 00:03:26.476104
100,20240904,774,145,4,Good quality and fast delivery,-0.04,2026-01-30 00:03:26.476104
101,20240810,419,14,3,Okay for the price,0.75,2026-01-30 00:03:26.476104
102,20240928,430,6,2,Below expectations,0.14,2026-01-30 00:03:26.476104
103,20240501,620,119,3,"Average product, does the job",-0.87,2026-01-30 00:03:26.476104
104,20240925,1089,49,1,"Terrible experience, do not buy",-0.65,2026-01-30 00:03:26.476104
105,20241222,306,78,4,Good value for the price,-0.04,2026-01-30 00:03:26.476104
106,20241121,712,17,5,"Perfect, would buy again",-0.97,2026-01-30 00:03:26.476104
107,20241024,435,14,1,"Terrible experience, do not buy",0.37,2026-01-30 00:03:26.476104
108,20231201,654,118,3,Nothing special but acceptable,-0.6,2026-01-30 00:03:26.476104
109,20240312,292,81,1,Completely disappointed,-0.24,2026-01-30 00:03:26.476104
110,20231216,1677,14,4,Good quality and fast delivery,-0.22,2026-01-30 00:03:26.476104
111,20241209,8,102,1,Very poor quality,-1.0,2026-01-30 00:03:26.476104
112,20240617,1866,141,2,"Not great, quality could be better",0.69,2026-01-30 00:03:26.476104
113,20240807,714,92,4,Very satisfied overall,0.21,2026-01-30 00:03:26.476104
114,20240528,231,46,2,Somewhat disappointed,0.1,2026-01-30 00:03:26.476104
115,20240610,777,157,1,Very poor quality,0.38,2026-01-30 00:03:26.476104
116,20240820,1815,37,5,"Perfect, would buy again",-0.6,2026-01-30 00:03:26.476104
117,20240108,889,10,1,Completely disappointed,0.22,2026-01-30 00:03:26.476104
118,20240211,1944,134,3,Okay for the price,-0.28,2026-01-30 00:03:26.476104
119,20240331,1579,75,2,Somewhat disappointed,0.53,2026-01-30 00:03:26.476104
120,20241205,581,43,2,Below expectations,-0.18,2026-01-30 00:03:26.476104
121,20241129,1157,16,1,Very poor quality,-0.4,2026-01-30 00:03:26.476104
122,20241217,1315,54,5,"Amazing quality, exceeded expectations",0.43,2026-01-30 00:03:26.476104
123,20240712,1218,53,5,"Amazing quality, exceeded expectations",0.06,2026-01-30 00:03:26.476104
124,20241126,1291,10,3,Nothing special but acceptable,0.44,2026-01-30 00:03:26.476104
125,20240126,727,83,1,"Terrible experience, do not buy",0.35,2026-01-30 00:03:26.476104
126,20240123,672,59,2,Below expectations,0.64,2026-01-30 00:03:26.476104
127,20231208,647,99,3,Okay for the price,0.86,2026-01-30 00:03:26.476104
128,20240609,41,141,2,"Not great, quality could be better",0.11,2026-01-30 00:03:26.476104
129,20240803,1288,20,2,Below expectations,0.3,2026-01-30 00:03:26.476104
130,20240218,602,96,2,"Not great, quality could be better",0.43,2026-01-30 00:03:26.476104
131,20240628,397,56,4,Good quality and fast delivery,-0.22,2026-01-30 00:03:26.476104
132,20240707,744,37,1,"Terrible experience, do not buy",0.33,2026-01-30 00:03:26.476104
133,20240608,1521,43,4,Good quality and fast delivery,-0.78,2026-01-30 00:03:26.476104
134,20240304,26,108,3,"Average product, does the job",-0.83,2026-01-30 00:03:26.476104
135,20240327,1070,78,2,Somewhat disappointed,0.62,2026-01-30 00:03:26.476104
136,20240104,1664,12,2,"Not great, quality could be better",-0.19,2026-01-30 00:03:26.476104
137,20240425,1628,156,2,Below expectations,0.79,2026-01-30 00:03:26.476104
138,20241212,1836,28,2,Below expectations,0.16,2026-01-30 00:03:26.476104
139,20240111,292,54,3,Nothing special but acceptable,0.57,2026-01-30 00:03:26.476104
140,20240505,1829,130,5,"Excellent product, highly recommended",0.8,2026-01-30 00:03:26.476104
141,20240107,1735,145,3,Okay for the price,0.08,2026-01-30 00:03:26.476104
142,20241129,1202,48,3,Nothing special but acceptable,0.59,2026-01-30 00:03:26.476104
143,20241126,1323,54,4,Good quality and fast delivery,-0.14,2026-01-30 00:03:26.476104
144,20240221,1324,34,3,Nothing special but acceptable,0.88,2026-01-30 00:03:26.476104
145,20240315,635,132,2,Somewhat disappointed,0.27,2026-01-30 00:03:26.476104
146,20240620,419,19,4,Good quality and fast delivery,-0.94,2026-01-30 00:03:26.476104
147,20240826,172,89,4,Good quality and fast delivery,-0.08,2026-01-30 00:03:26.476104
148,20240221,1572,90,2,"Not great, quality could be better",0.31,2026-01-30 00:03:26.476104
149,20240722,799,55,2,Somewhat disappointed,-0.77,2026-01-30 00:03:26.476104
150,20241003,1293,62,3,"Average product, does the job",0.88,2026-01-30 00:03:26.476104
151,20241215,1699,32,5,"Excellent product, highly recommended",-0.91,2026-01-30 00:03:26.476104
152,20241016,1072,51,5,"Perfect, would buy again",0.24,2026-01-30 00:03:26.476104
153,20231229,1900,7,4,Very satisfied overall,0.2,2026-01-30 00:03:26.476104
154,20241111,813,45,2,"Not great, quality could be better",-0.09,2026-01-30 00:03:26.476104
155,20240101,569,117,3,"Average product, does the job",-0.2,2026-01-30 00:03:26.476104
156,20240706,862,137,3,Okay for the price,-0.42,2026-01-30 00:03:26.476104
157,20241122,1519,152,3,Okay for the price,0.98,2026-01-30 00:03:26.476104
158,20240625,181,76,1,"Terrible experience, do not buy",0.82,2026-01-30 00:03:26.476104
159,20240423,508,124,3,Okay for the price,-0.92,2026-01-30 00:03:26.476104
160,20240630,1249,38,1,"Terrible experience, do not buy",-0.98,2026-01-30 00:03:26.476104
161,20241020,320,15,1,"Terrible experience, do not buy",-0.26,2026-01-30 00:03:26.476104
162,20231223,812,68,5,"Excellent product, highly recommended",0.7,2026-01-30 00:03:26.476104
163,20241214,72,12,3,Nothing special but acceptable,0.99,2026-01-30 00:03:26.476104
164,20240111,230,137,5,"Excellent product, highly recommended",0.3,2026-01-30 00:03:26.476104
165,20240403,507,32,2,"Not great, quality could be better",-0.82,2026-01-30 00:03:26.476104
166,20231226,323,110,1,Very poor quality,1.0,2026-01-30 00:03:26.476104
167,20240819,1239,156,5,"Amazing quality, exceeded expectations",0.97,2026-01-30 00:03:26.476104
168,20240719,1968,147,3,"Average product, does the job",0.7,2026-01-30 00:03:26.476104
169,20240503,15,146,2,Somewhat disappointed,0.3,2026-01-30 00:03:26.476104
170,20240625,1864,77,3,Nothing special but acceptable,-0.45,2026-01-30 00:03:26.476104
171,20240728,723,143,3,Nothing special but acceptable,0.42,2026-01-30 00:03:26.476104
172,20241116,962,49,1,"Terrible experience, do not buy",0.9,2026-01-30 00:03:26.476104
173,20240618,1855,118,2,Below expectations,-0.68,2026-01-30 00:03:26.476104
174,20240312,115,126,2,"Not great, quality could be better",0.46,2026-01-30 00:03:26.476104
175,20240910,560,108,1,Very poor quality,0.9,2026-01-30 00:03:26.476104
176,20240614,1442,20,5,"Excellent product, highly recommended",1.0,2026-01-30 00:03:26.476104
177,20240415,462,134,5,"Amazing quality, exceeded expectations",-0.04,2026-01-30 00:03:26.476104
178,20240314,345,86,1,"Terrible experience, do not buy",-0.59,2026-01-30 00:03:26.476104
179,20240516,1922,136,2,"Not great, quality could be better",-0.17,2026-01-30 00:03:26.476104
180,20241112,492,129,4,Very satisfied overall,0.95,2026-01-30 00:03:26.476104
181,20240516,527,136,2,"Not great, quality could be better",0.1,2026-01-30 00:03:26.476104
182,20240205,322,72,4,Very satisfied overall,0.1,2026-01-30 00:03:26.476104
183,20241122,1778,91,3,Okay for the price,-0.25,2026-01-30 00:03:26.476104
184,20241201,1736,75,2,"Not great, quality could be better",0.22,2026-01-30 00:03:26.476104
185,20240321,1496,26,4,Good value for the price,0.12,2026-01-30 00:03:26.476104
186,20231212,1288,17,3,Nothing special but acceptable,0.52,2026-01-30 00:03:26.476104
187,20240325,1659,43,1,Completely disappointed,-0.44,2026-01-30 00:03:26.476104
188,20240624,1863,53,3,Okay for the price,0.34,2026-01-30 00:03:26.476104
189,20240531,578,29,5,"Excellent product, highly recommended",0.94,2026-01-30 00:03:26.476104
190,20241127,917,30,5,"Amazing quality, exceeded expectations",-0.58,2026-01-30 00:03:26.476104
191,20240915,961,77,2,Below expectations,-0.89,2026-01-30 00:03:26.476104
192,20240623,566,155,4,Good quality and fast delivery,-0.24,2026-01-30 00:03:26.476104
193,20240304,1424,6,2,Somewhat disappointed,0.19,2026-01-30 00:03:26.476104
194,20240120,902,107,2,Somewhat disappointed,0.69,2026-01-30 00:03:26.476104
195,20240912,188,45,1,"Terrible experience, do not buy",0.82,2026-01-30 00:03:26.476104
196,20241123,1273,15,2,Below expectations,-0.36,2026-01-30 00:03:26.476104
197,20240119,1004,117,3,Okay for the price,0.2,2026-01-30 00:03:26.476104
198,20240301,1373,47,5,"Perfect, would buy again",-0.03,2026-01-30 00:03:26.476104
199,20231228,606,80,1,Completely disappointed,-0.59,2026-01-30 00:03:26.476104
200,20240321,1008,43,4,Good value for the price,0.16,2026-01-30 00:03:26.476104
201,20240915,677,32,1,Completely disappointed,0.21,2026-01-30 00:03:26.476104
202,20240817,455,157,1,Very poor quality,-0.49,2026-01-30 00:03:26.476104
203,20240611,1827,11,2,Somewhat disappointed,0.85,2026-01-30 00:03:26.476104
204,20240623,1714,58,1,Very poor quality,-0.41,2026-01-30 00:03:26.476104
205,20240504,162,90,3,Okay for the price,0.29,2026-01-30 00:03:26.476104
206,20241116,278,43,5,"Amazing quality, exceeded expectations",-0.06,2026-01-30 00:03:26.476104
207,20240705,391,7,5,"Perfect, would buy again",-0.99,2026-01-30 00:03:26.476104
208,20240619,1812,80,4,Very satisfied overall,-0.39,2026-01-30 00:03:26.476104
209,20240416,1908,98,4,Good quality and fast delivery,-0.75,2026-01-30 00:03:26.476104
210,20240620,1506,127,4,Good quality and fast delivery,-0.28,2026-01-30 00:03:26.476104
211,20231230,1273,67,5,"Excellent product, highly recommended",0.88,2026-01-30 00:03:26.476104
212,20240410,1708,44,3,Okay for the price,0.08,2026-01-30 00:03:26.476104
213,20240829,1195,156,3,"Average product, does the job",-0.11,2026-01-30 00:03:26.476104
214,20240527,619,129,2,Below expectations,-0.56,2026-01-30 00:03:26.476104
215,20240524,881,11,4,Good quality and fast delivery,0.24,2026-01-30 00:03:26.476104
216,20240217,82,158,4,Very satisfied overall,-0.5,2026-01-30 00:03:26.476104
217,20240508,1233,125,3,Okay for the price,0.9,2026-01-30 00:03:26.476104
218,20240323,1210,116,3,Okay for the price,-0.27,2026-01-30 00:03:26.476104
219,20240801,1643,113,5,"Amazing quality, exceeded expectations",0.47,2026-01-30 00:03:26.476104
220,20240725,1555,127,2,"Not great, quality could be better",0.13,2026-01-30 00:03:26.476104
221,20241227,963,26,2,Below expectations,0.27,2026-01-30 00:03:26.476104
222,20240715,568,78,3,Nothing special but acceptable,0.11,2026-01-30 00:03:26.476104
223,20240308,218,38,1,Very poor quality,0.08,2026-01-30 00:03:26.476104
224,20240501,1031,116,3,"Average product, does the job",0.52,2026-01-30 00:03:26.476104
225,20240916,1954,66,3,Nothing special but acceptable,-0.8,2026-01-30 00:03:26.476104
226,20241207,1909,143,4,Good quality and fast delivery,-0.08,2026-01-30 00:03:26.476104
227,20240806,1858,22,3,"Average product, does the job",-0.06,2026-01-30 00:03:26.476104
228,20241231,1099,116,4,Very satisfied overall,0.83,2026-01-30 00:03:26.476104
229,20240924,1928,101,4,Good value for the price,-0.85,2026-01-30 00:03:26.476104
230,20240908,766,122,2,"Not great, quality could be better",0.78,2026-01-30 00:03:26.476104
231,20240108,775,49,2,Below expectations,0.59,2026-01-30 00:03:26.476104
232,20240614,1033,158,3,Nothing special but acceptable,-0.83,2026-01-30 00:03:26.476104
233,20241228,227,74,4,Good quality and fast delivery,0.09,2026-01-30 00:03:26.476104
234,20240106,691,22,1,"Terrible experience, do not buy",-0.56,2026-01-30 00:03:26.476104
235,20241001,176,146,3,"Average product, does the job",-0.67,2026-01-30 00:03:26.476104
236,20240619,1389,6,2,"Not great, quality could be better",0.79,2026-01-30 00:03:26.476104
237,20231211,630,151,3,Nothing special but acceptable,0.84,2026-01-30 00:03:26.476104
238,20241007,634,136,4,Good quality and fast delivery,0.79,2026-01-30 00:03:26.476104
239,20240620,1570,5,3,Nothing special but acceptable,0.4,2026-01-30 00:03:26.476104
240,20231227,1797,3,5,"Amazing quality, exceeded expectations",-0.92,2026-01-30 00:03:26.476104
241,20231228,1353,144,3,Nothing special but acceptable,-0.95,2026-01-30 00:03:26.476104
242,20231218,879,95,5,"Amazing quality, exceeded expectations",0.49,2026-01-30 00:03:26.476104
243,20240307,1310,91,3,Okay for the price,0.46,2026-01-30 00:03:26.476104
244,20240506,903,137,4,Good value for the price,-0.03,2026-01-30 00:03:26.476104
245,20240516,1705,115,5,"Amazing quality, exceeded expectations",0.03,2026-01-30 00:03:26.476104
246,20240301,1157,70,2,Below expectations,-0.03,2026-01-30 00:03:26.476104
247,20241108,200,120,3,Okay for the price,0.78,2026-01-30 00:03:26.476104
248,20241213,1221,73,3,Okay for the price,0.57,2026-01-30 00:03:26.476104
249,20240702,1954,45,1,Completely disappointed,0.4,2026-01-30 00:03:26.476104
250,20240322,1315,28,4,Good value for the price,-0.97,2026-01-30 00:03:26.476104
251,20240502,1874,13,1,Very poor quality,-0.93,2026-01-30 00:03:26.476104
252,20240921,1349,82,4,Good value for the price,-0.21,2026-01-30 00:03:26.476104
253,20240505,259,131,4,Good quality and fast delivery,0.67,2026-01-30 00:03:26.476104
254,20240218,520,117,2,"Not great, quality could be better",-0.2,2026-01-30 00:03:26.476104
255,20240531,1623,114,5,"Amazing quality, exceeded expectations",0.43,2026-01-30 00:03:26.476104
256,20241114,1670,42,3,"Average product, does the job",0.77,2026-01-30 00:03:26.476104
257,20241224,1240,38,5,"Excellent product, highly recommended",0.69,2026-01-30 00:03:26.476104
258,20241208,920,142,4,Good quality and fast delivery,-0.68,2026-01-30 00:03:26.476104
259,20240307,271,128,2,"Not great, quality could be better",-0.61,2026-01-30 00:03:26.476104
260,20241230,58,3,1,"Terrible experience, do not buy",0.21,2026-01-30 00:03:26.476104
261,20240208,1424,73,2,Below expectations,-0.86,2026-01-30 00:03:26.476104
262,20240922,189,86,4,Good quality and fast delivery,-0.92,2026-01-30 00:03:26.476104
263,20240720,78,14,4,Good quality and fast delivery,-0.12,2026-01-30 00:03:26.476104
264,20231207,1483,4,5,"Excellent product, highly recommended",-0.36,2026-01-30 00:03:26.476104
265,20240201,1212,132,4,Good value for the price,0.42,2026-01-30 00:03:26.476104
266,20241114,380,61,1,Completely disappointed,0.96,2026-01-30 00:03:26.476104
267,20240830,1966,101,3,Okay for the price,0.01,2026-01-30 00:03:26.476104
268,20231204,924,104,2,Somewhat disappointed,0.05,2026-01-30 00:03:26.476104
269,20240605,317,91,3,Okay for the price,-0.85,2026-01-30 00:03:26.476104
270,20240603,768,153,4,Good value for the price,-0.46,2026-01-30 00:03:26.476104
271,20241217,342,148,1,Very poor quality,0.83,2026-01-30 00:03:26.476104
272,20231221,790,63,3,"Average product, does the job",0.91,2026-01-30 00:03:26.476104
273,20240708,780,128,2,"Not great, quality could be better",-0.71,2026-01-30 00:03:26.476104
274,20240409,1068,100,5,"Amazing quality, exceeded expectations",0.24,2026-01-30 00:03:26.476104
275,20240322,1123,130,1,"Terrible experience, do not buy",0.42,2026-01-30 00:03:26.476104
276,20240522,1823,4,5,"Perfect, would buy again",-0.35,2026-01-30 00:03:26.476104
277,20240112,1724,45,1,"Terrible experience, do not buy",0.46,2026-01-30 00:03:26.476104
278,20231215,1630,157,2,Below expectations,0.35,2026-01-30 00:03:26.476104
279,20240731,726,65,2,Below expectations,0.92,2026-01-30 00:03:26.476104
280,20240127,1554,13,3,Okay for the price,0.23,2026-01-30 00:03:26.476104
281,20240819,239,120,2,Below expectations,0.41,2026-01-30 00:03:26.476104
282,20240104,908,13,2,Below expectations,0.54,2026-01-30 00:03:26.476104
283,20240612,1234,39,4,Very satisfied overall,-0.47,2026-01-30 00:03:26.476104
284,20241127,779,100,1,"Terrible experience, do not buy",-0.12,2026-01-30 00:03:26.476104
285,20240802,1328,20,2,"Not great, quality could be better",0.85,2026-01-30 00:03:26.476104
286,20240807,1478,126,5,"Amazing quality, exceeded expectations",-0.84,2026-01-30 00:03:26.476104
287,20240812,95,123,4,Good value for the price,-0.58,2026-01-30 00:03:26.476104
288,20241127,1092,73,4,Good value for the price,-0.16,2026-01-30 00:03:26.476104
289,20241215,1453,118,5,"Perfect, would buy again",-0.42,2026-01-30 00:03:26.476104
290,20241017,1315,105,1,"Terrible experience, do not buy",0.99,2026-01-30 00:03:26.476104
291,20240221,1981,71,2,Somewhat disappointed,-0.48,2026-01-30 00:03:26.476104
292,20240917,934,126,5,"Perfect, would buy again",0.29,2026-01-30 00:03:26.476104
293,20240402,481,116,4,Very satisfied overall,-0.04,2026-01-30 00:03:26.476104
294,20241104,996,73,1,Completely disappointed,-0.06,2026-01-30 00:03:26.476104
295,20240627,1687,82,3,Nothing special but acceptable,0.31,2026-01-30 00:03:26.476104
296,20241104,1371,138,2,Below expectations,-0.88,2026-01-30 00:03:26.476104
297,20240906,1239,89,3,Okay for the price,-0.54,2026-01-30 00:03:26.476104
298,20241027,45,25,4,Very satisfied overall,-0.38,2026-01-30 00:03:26.476104
299,20241106,1439,159,3,"Average product, does the job",-0.19,2026-01-30 00:03:26.476104
300,20240425,971,86,2,Somewhat disappointed,-0.01,2026-01-30 00:03:26.476104
301,20241008,1580,38,4,Very satisfied overall,0.39,2026-01-30 00:03:26.476104
302,20240618,1941,130,5,"Excellent product, highly recommended",0.1,2026-01-30 00:03:26.476104
303,20241018,1929,7,3,"Average product, does the job",-0.7,2026-01-30 00:03:26.476104
304,20240625,1320,30,3,Okay for the price,0.78,2026-01-30 00:03:26.476104
305,20240331,1067,125,5,"Amazing quality, exceeded expectations",-0.43,2026-01-30 00:03:26.476104
306,20241215,896,18,4,Good value for the price,-0.17,2026-01-30 00:03:26.476104
307,20240723,401,159,4,Very satisfied overall,-0.12,2026-01-30 00:03:26.476104
308,20240115,844,6,3,"Average product, does the job",0.58,2026-01-30 00:03:26.476104
309,20241018,1853,119,4,Good quality and fast delivery,-0.75,2026-01-30 00:03:26.476104
310,20240205,1759,83,3,Okay for the price,0.78,2026-01-30 00:03:26.476104
311,20240319,321,121,4,Good value for the price,-0.57,2026-01-30 00:03:26.476104
312,20240125,1746,35,3,Okay for the price,-0.62,2026-01-30 00:03:26.476104
313,20240409,536,77,2,Below expectations,-0.32,2026-01-30 00:03:26.476104
314,20240625,179,125,3,Nothing special but acceptable,0.59,2026-01-30 00:03:26.476104
315,20240817,38,144,2,"Not great, quality could be better",-0.22,2026-01-30 00:03:26.476104
316,20240105,1033,128,4,Good value for the price,0.75,2026-01-30 00:03:26.476104
317,20240617,283,35,2,Somewhat disappointed,-0.32,2026-01-30 00:03:26.476104
318,20240329,510,145,3,Okay for the price,-0.42,2026-01-30 00:03:26.476104
319,20241114,542,154,2,Somewhat disappointed,0.42,2026-01-30 00:03:26.476104
320,20240720,697,84,2,Below expectations,-0.38,2026-01-30 00:03:26.476104
321,20241017,1103,114,4,Good value for the price,-0.84,2026-01-30 00:03:26.476104
322,20240227,1000,69,5,"Excellent product, highly recommended",-0.58,2026-01-30 00:03:26.476104
323,20240129,436,133,1,Very poor quality,0.32,2026-01-30 00:03:26.476104
324,20231211,1918,120,4,Very satisfied overall,0.84,2026-01-30 00:03:26.476104
325,20240517,356,104,4,Very satisfied overall,-0.46,2026-01-30 00:03:26.476104
326,20240704,73,23,2,Somewhat disappointed,-0.66,2026-01-30 00:03:26.476104
